7. 6464 Canoga Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPOSED APARTMENT PROJECT – SPACE ALLOCATION ANALYSIS (BASED ON USER DESIGN INPUT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross building area (GBA) & gross floor area (GFA) analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leasing Office,,,,,,,,TRUE,101 SF,,,101 SF,,,101 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%
,Manager's Office,,,,,,,,TRUE,101 SF,,,101 SF,,,101 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%
,Parking Control Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CCTV / IT / Security Equipment rm,,,,,,,,TRUE,60 SF,,,60 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12%
,Staff Break Room,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staff Lockers & Showers,,,,,,,,TRUE,185 SF,,,185 SF,,,185 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36%
,Staff Restroom,,,,,,,,TRUE,62 SF,,,62 SF,,,62 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12%
,Total,,,,,,,,,509 SF,,,509 SF,,,449 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open space analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirement:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Common open space (req),,,,,"3,550 SF",,,,The total area of shared outdoor or indoor open space required by LAMC for all residents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Private open space,,,,,"2,500 SF",,,,"The total area of balconies, patios, or other open spaces reserved for the exclusive use of individual dwelling units",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Open Space (req),,,,,"6,050 SF",,,,The minimum open space area mandated by the LAMC for the project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recreation room (max),,,,,"1,513 SF",,,,The maximum amount of recreation room space that can be counted toward indoor amenity requirements (LAMC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outdoor Amenity Space (req),,,,,"2,038 SF",,,,The minimum outdoor amenity area that must be provided to meet project requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Common open space (req),,,,,"3,550 SF",,,,The total area of shared outdoor or indoor open space required by LAMC for all residents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indoor Amenity Space,,,,,"1,681 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outdoor Amenity Space,,,,,"3,333 SF",,>,"2,038 SF",,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Common open space,,,,,"5,014 SF",,>,"3,550 SF",,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Common open space,,,,,"5,014 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Private open space,,,,,"2,500 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Open Space,,,,,"7,514 SF",,>,"6,050 SF",,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amenities – Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenity priority for resident cohort:,,,,,,2. Community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indoor Amenity Space (req.),,,,,"1,513",,SF,,The minimum indoor amenity area required by zoning or municipal code.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Corridor - Indoor Amenities,,,,,333,,SF,,The portion of corridor area allocated or credited toward indoor amenity space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenities – Indoor,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Art Studio,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32%
,Bar / Café Nook,,,,,,,,TRUE,540 SF,,,540 SF,,,540 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29%
,Business Center / Coworking,,,,,,,,TRUE,482 SF,,,482 SF,,,482 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Children’s Play Area,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Commercial Kitchen,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Community / Multi-Purpose Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%
,Concierge Desk,,,,,,,,TRUE,136 SF,,,136 SF,,,136 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Conference Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dining Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dog Washing Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fitness Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Game Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Golf Simulator Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Library / Reading Lounge,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Massage / Treatment Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Podcast Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recording Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sauna / Steam Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shower / Changing Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spa / Wellness Center,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spin Studio,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenity Storage Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31%
,Theater / Screening Room,,,,,,,,TRUE,522 SF,,,522 SF,,,522 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yoga / Pilates Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Restroom for Residents,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"1,681 SF",,,"1,681 SF",,,"1,681 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amenities – Outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenities – Outdoor,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outdoor Bar Area,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.40%
,BBQ Stations,,,,,,,,TRUE,480 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cabanas,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.30%
,Fire Pit(s),,,,,,,,TRUE,711 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.20%
,Gazebos,,,,,,,,TRUE,341 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Movie Screening Area,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.20%
,Outdoor Kitchen,,,,,,,,TRUE,505 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seating / Tables,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Courts - Sports,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outdoor Shower(s),,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pets - Dog Run / Pet Park,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pets - Dog Washing Station,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Planters - Community Garden,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outdoor Spa,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Swimming Pool,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tot Lot / Children’s Play Area,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.20%
,Planters - Landscaped Area,,,,,,,,TRUE,408 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.60%
,Outdoor Amenity Circulation,,,,,,,,TRUE,888 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"3,333 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Voltage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Low Voltage,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MPOE Room,,,,,,,,TRUE,100 SF,,,100 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDF Closets,,,,,,,,TRUE,168 SF,,,168 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DAS (ERRCS) Room,,,,,,,,TRUE,74 SF,,,74 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,342 SF,,,342 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dry Utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dry Utilities,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electrical Utilty Infrastructure - Exterior,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electrical Utility - Customer Station (indoor),,,,,,,,TRUE,853 SF,,,853 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas Utility - Indoor Meter Room,,,,,,,,TRUE,556 SF,,,556 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"1,409 SF",,,"1,409 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back of House – Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Residential area - kVA,,,,,336,,kVA,,The estimated electrical demand load in kVA attributable to the residential portion of the building.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Non-residential area - kVA,,,,,155,,kVA,,The estimated electrical demand load in kVA attributable to the non-residential portion of the building.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Demand electrical load,,,,,491,,kVA,,"The combined total electrical demand load for both residential and non-residential areas, expressed in kVA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roof area,,,,,"11,216",,SF,,"The total gross roof surface of the building, measured in square feet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Available roof sf (solar panel),,,,,"4,722",,SF,,"The portion of the roof area suitable for photovoltaic panels after excluding setbacks, mechanical equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Electrical,,,,,,,,Has?,GSF,,,GBA,,,GFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Main Electrical Room,,,,,,,,TRUE,210 SF,,,210 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sub Electrical Room(s),,,,,,,,TRUE,73 SF,,,73 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ATS Room (Emergency equipment),,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Generator Room,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emergency Lighting Inverter Room,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Solar Battery Room / UPS Room,,,,,,,,TRUE,193 SF,,,193 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,476 SF,,,476 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back of House – Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Mechanical,,,,,,,,Has?,GSF,,,GBA,,,GFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fan Room / Air Handling Unit (AHU) Room,,,,,,,,TRUE,116 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mechanical Pad for HVAC Equipment (Outdoor),,,,,,,,TRUE,"1,531 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mech. Shaft - Commercial Kitchen,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mech. Shaft - Ventilation & Ref. Lines,,,,,,,,TRUE,103 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"1,750 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back of House – Plumbing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic peak flow - Q,,,,,186,,gpm,,The maximum instantaneous demand for domestic (potable) water supply in the building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Plumbing,,,,,,,,Has?,GSF,,,GBA,,,GFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic Water Booster Pump Room,,,,,,,,TRUE,174 SF,,,174 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cistern Water Storage/Tank Room,,,,,,,,TRUE,749 SF,,,749 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Backflow Preventer Room/Alcove/Space,,,,,,,,TRUE,65 SF,,,65 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas Meter Space/Alcove,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grease Interceptor Room,,,,,,,,TRUE,106 SF,,,106 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Central Water Heating Room (Indoor),,,,,,,,TRUE,85 SF,,,85 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Central Water Heating Pad (Outdoor),,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Graywater System Room,,,,,,,,TRUE,69 SF,,,69 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shaft - Plumbing Risers,,,,,,,,TRUE,33 SF,,,33 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Water PRV Closet,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Water Filtration/Conditioning Room,,,,,,,,TRUE,26 SF,,,26 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rain Water Harvesting Room,,,,,,,,TRUE,107 SF,,,107 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"1,414 SF",,,"1,414 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back of House – Fire Sprinkler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Is Sprinklered?,,,,,,,,TRUE,Indicates whether the building is equipped with an automatic fire sprinkler system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Design Fire Flow,,,,,750,,gpm,,"The required water supply rate for firefighting, expressed in gallons per minute (gpm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Fire Sprinkler,,,,,,,,Has?,GSF,,,GBA,,,GFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fire Pump Room,,,,,,,,TRUE,135 SF,,,135 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fire Control Room,,,,,,,,TRUE,200 SF,,,200 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sprinkler Riser Closets,,,,,,,,TRUE,20 SF,,,20 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,355 SF,,,355 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Carmel Bundy 2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPOSED APARTMENT PROJECT – SPACE ALLOCATION ANALYSIS (BASED ON USER DESIGN INPUT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross building area (GBA) & gross floor area (GFA) analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proposal property type,,,,,Apartment,,,,The proposal property type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Building construction type,,,,,4.Type III/I,,,,"The building’s structural material and fire-resistance classification (e.g., Type V – wood, Type III – mixed, Type I – concrete/steel)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lot Size (GSF),,,,,"60,242",,SF,,Lot Size / Parcel Area / Plot Area : The total land parcel area for the existing office site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FAR,,,,,4.65,,,,The ratio of Gross Floor Area (GFA) to Lot Size for the proposed apartment project.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Floor Area (GFA),,,,,"279,710",,SF,,"The total usable floor area that counts toward zoning FAR, excluding shafts, mechanical/electrical rooms, & other exempt spaces.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Building Area (GBA),,,,,"429,877",,SF,,"The total area of the proposed apartment measured to exterior walls, including all enclosed spaces before FAR exclusion (CBC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories,,,,,10,,,,The number of floors in the existing office.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Typical floor plate area (GSF),,,,,"42,988",,SF,,"The gross area of one standard floor in the proposed apartment, representing a typical level footprint.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentable area,,,,,"238,501",,SF,,The portion of the proposed apartment building that can be leased or rented to tenants.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Building Area (GBA),,,,,"429,877",,SF,,"The total area of the proposed apartment measured to exterior walls, including all enclosed spaces before FAR exclusions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net-to-Gross ratio,,,,,55.50%,,,,"The efficiency ratio of the proposed apartment, calculated as Rentable Area ÷ Gross Building Area (GBA).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Area,,,,,,,,% GBA,,,Building Area,,,Floor Area,,,GSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dwelling Units,,,,,,,,55.50%,,,"238,501 SF",,,"238,501 SF",,,"238,501 SF",,,,,,,,,,,,,,,55.50%,,,,,,,,,,,,,,,,,,,
,Retail,,,,,,,,0.00%,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Circulation,,,,,,,,6.00%,,,"25,664 SF",,,"23,129 SF",,,"29,368 SF",,,,,,,,,,,,,,,6.00%,,,,,,,,,,,,,,,,,,,
,Support Areas,,,,,,,,2.50%,,,"10,599 SF",,,"8,624 SF",,,"10,777 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staff / Management,,,,,,,,0.40%,,,"1,627 SF",,,"1,491 SF",,,"1,627 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenities – Indoor,,,,,,,,1.90%,,,"7,966 SF",,,"7,966 SF",,,"7,966 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenities – Outdoor,,,,,,,,0.00%,,,-,,,-,,,"13,683 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parking & Vehicle Access Areas,,,,,,,,31.60%,,,"135,850 SF",,,-,,,"151,192 SF",,,,,,,,,,,,,,,31.60%,,,,,,,,,,,,,,,,,,,
,Low Voltage,,,,,,,,0.10%,,,626 SF,,,-,,,626 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dry Utilities,,,,,,,,0.90%,,,"3,927 SF",,,-,,,"3,927 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Electrical,,,,,,,,0.50%,,,"2,162 SF",,,-,,,"2,162 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Mechanical,,,,,,,,0.00%,,,-,,,-,,,"2,400 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Plumbing,,,,,,,,0.60%,,,"2,592 SF",,,-,,,"2,592 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Fire Sprinkler,,,,,,,,0.10%,,,364 SF,,,-,,,364 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,100%,,,"429,877 SF",,,"279,710 SF",,,"465,183 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
